Questions,Difficulty,Category
Do you know about Predefined variables?,1,Other
What is QTP?,3,Other
Can you give some applications where Automation Anywhere can be used?,2,Other
What are various Automation Anywhere tools?,3,Other
How many automation commands are available in Automation Anywhere?,2,Other
Can you differentiate between the wait command and the delay command?,1,Other
Do you know how many recorders are there in Automation Anywhere and what are they?,3,Other
What are the components of Automation Anywhere tool architecture?,3,Other
Can you mention tasks that can be automated?,3,Other
What is Sikuli?,3,Other
What is the difference between Automation Anywhere and Blue Prism?,3,Other
What are the various licenses available in Automation Anywhere?,1,Other
What are the options available in error handling?,2,Other
How do you use Automation Anywhere system variables to create timestamps for your files?,2,Other
How can you read PDFs through Automation Anywhere?,2,Other
What do you mean by object cloning?,3,Other
What are the factors that you would consider when you want to use Automation Anywhere?,1,Other
What is meant by the framework?,3,Other
What are the various types of frameworks in Automation Anywhere?,3,Other
What is the control room in Automation Anywhere?,3,Other
What is a Bot Creator?,1,Other
What is Bot Runner?,3,Other
What is an Automation Anywhere Bot store?,3,Other
What is Trigger and what is the use of Trigger in Automation Anywhere?,2,Other
What do you know about Bot insight?,2,Other
What is the difference between a set text and an append text?,3,Other
What is the App Integration command?,3,Other
What types of scripts can Automation Anywhere run?,2,Other
What is PGP? And the use of PGP?,1,Other
"In the AA assignment, how will you link or read two or more separate excel files?",3,Other
What exactly does Workflow Designer mean?,2,Other
How can we extract tables from PDFs in Automation Anywhere?,3,Other
What do you know about auto-login in Automation Anywhere?,2,Other
How do we use OCR for image recognition?,1,Other
How can we use Automation Anywhere to read CSV files?,1,Other
Why are string operation commands used in Automation Anywhere?,1,Other
What is Automation Anywhere credential vault?,3,Other
What is the best way to get access to the API interaction?,3,Other
How do I configure Automation Anywhere's email settings and SMTP server?,2,Other
Explain steps involved in recording tasks in Automation Anywhere?,2,Other
"What do you mean by the terms least, moderately, and most friendly formats in Automation Anywhere.",2,Other
Can we acquire 100% automation with Automation Anywhere?,3,Other
What are the steps you would take If you couldn’t log in to the client machine from Automation Anywhere?,2,Other
When are you going to start managing bot lifecycles in Automation Anywhere?,2,Other
Compare Splunk with Spark.,2,Other
What is Splunk?,1,Other
What are the common port numbers used by Splunk?,2,Other
What are the components of Splunk? Explain Splunk architecture.,3,Other
Which is the latest Splunk version in use?,3,Other
What is Splunk Indexer? What are the stages of Splunk Indexing?,1,Other
What is a Splunk Forwarder? What are the types of Splunk Forwarders?,1,Other
Can you name a few most important configuration files in Splunk?,1,Other
What are the types of Splunk Licenses?,2,Other
What is Splunk App?,1,Other
Where is Splunk Default Configuration stored?,2,Other
What are the features not available in Splunk Free?,2,Other
What happens if the License Master is unreachable?,2,Other
What is Summary Index in Splunk?,1,Other
What is Splunk DB Connect?,3,Other
Can you write down a general regular expression for extracting the IP address from logs?,1,Other
Explain Stats vs Transaction commands.,3,Other
How to troubleshoot Splunk performance issues?,3,Other
What are Buckets? Explain Splunk Bucket Lifecycle.,1,Other
What is the difference between stats and eventstats commands?,2,Other
Who are the top direct competitors to Splunk?,2,Other
What do Splunk Licenses specify?,3,Other
"How does Splunk determine 1 day, from a licensing perspective?",1,Other
How are Forwarder Licenses purchased?,3,Other
What is the command for restarting Splunk web server?,1,Other
What is the command for restarting Splunk Daemon?,1,Other
What is the command used to check the running Splunk processes on Unix/Linux?,1,OS
What is the command used for enabling Splunk to boot start?,2,Other
How to disable Splunk boot-start?,3,Other
What is Source Type in Splunk?,1,Other
How to reset Splunk Admin password?,2,Other
How to disable Splunk Launch Message?,3,Other
How to clear Splunk Search History?,3,Other
What is Btool? How will you troubleshoot Splunk configuration files?,1,Other
What is the difference between Splunk App and Splunk Add-on?,1,Other
What is .conf files precedence in Splunk?,1,Other
What is Fishbucket? What is Fishbucket Index?,3,Other
How do I exclude some events from being indexed by Splunk?,2,Other
How can I understand when Splunk has finished indexing a log file?,2,Other
How to set the default search time in Splunk 6?,2,Other
What is Dispatch Directory?,2,OS
What is the difference between Search Head Pooling and Search Head Clustering?,1,AI
"If I want to add folder access logs from a windows machine to Splunk, how do I do it?",1,Other
How would you handle/troubleshoot Splunk License Violation Warning?,2,Other
What is MapReduce algorithm?,1,Other
How does Splunk avoid the duplicate indexing of logs?,1,Other
What is the difference between Splunk SDK and Splunk Framework?,3,Other
For what purpose inputlookup and outputlookup are used in Splunk Search?,3,Other
Explain how Splunk works?,2,Other
How to add the colors in Splunk UI based on the field names? ,3,Other
How the Data Ages in Splunk?,3,Other
What are pivots and data models in Splunk?,3,Other
Explain Workflow Actions?,1,Other
How many types of dashboards are available in Splunk?,3,Other
What are the types of alerts available in Splunk?,1,Other
Define the term “Search factor” and “Replication factor”,2,Other
How to stop/start the Splunk service?,2,Other
What is the use of Time Zone property in Splunk?,1,Other
What are the important Search commands in Splunk?,3,Other
How many types of search modes are there in Splunk?,2,Other
Check out this video on Hadoop Interview Questions and Answers:,3,Other
What do you mean by the term or concept of Big Data?,1,Other
What are the characteristics of Big Data?,1,Other
What are the various steps involved in deploying a Big Data solution?,1,Other
What are the core components of Hadoop?,1,Other
What is the reason behind using Hadoop in Big Data analytics?,3,Other
What do you understand by fsck in Hadoop?,3,Other
Can you explain some of the important features of Hadoop?,1,Other
What is Hadoop and what are its components?,3,Other
In what all modes can Hadoop be run?,1,Other
Name some of the major organizations globally that use Hadoop?,2,Other
What are the real-time industry applications of Hadoop?,1,Other
What is HBase?,1,Other
What is a Combiner?,2,Other
"Is it okay to optimize algorithms or codes to make them run faster? If yes, why?",3,Other
What is the difference between RDBMS and Hadoop?,1,Other
What is Apache Spark?,2,Other
Can you list the components of Apache Spark?,2,Other
What are the differences between Hadoop and Spark?,2,Other
What is Apache Hive?,2,Other
Does Hive support multiline comments? ,1,Other
Explain the major difference between HDFS block and InputSplit,1,Other
How is Hadoop different from other parallel computing systems?,2,Other
Can you list the limitations of Hadoop?,3,Other
Watch this insightful video to learn more about Hadoop:,3,Other
What is distributed cache? What are its benefits?,2,Other
Name the different configuration files in Hadoop,1,Other
Can you skip the bad records in Hadoop? How?,3,Other
What are the various components of Apache HBase?,3,Other
What is the syntax to run a MapReduce program?,2,Other
Which command will you give to copy data from the local system onto HDFS?,2,Other
What are the components of Apache HBase’s Region Server?,2,Other
What are the various schedulers in YARN?,3,Other
What are the main components of YARN? Can you explain them?,2,Other
"Explain the difference among NameNode, Checkpoint NameNode, and Backup Node",3,Other
What are the most common input formats in Hadoop?,1,Other
What are the most common output formats in Hadoop?,3,Other
How to execute a Pig script?,3,Other
What is Apache Pig and why is it preferred over MapReduce?,2,Other
What are the components of the Apache Pig architecture?,3,Other
Mention some commands in YARN to check application status and to kill an application.,2,Other
What are the different components of Hive query processors?,2,Other
What are the commands to restart NameNode and all the daemons in Hadoop?,2,Other
Define DataNode. How does NameNode tackle DataNode failures?,2,Other
What is the significance of Sqoop’s eval tool?,3,Other
Can you name the default file formats for importing data using Apache Sqoop?,1,Other
What is the difference between relational database and HBase?,2,SQL
What is the jps command used for?,2,Other
What are the core methods of a reducer?,1,Other
What is Apache Flume? List the components of Apache Flume,2,Other
What are the differences between MapReduce and Pig?,2,Other
List the configuration parameters in a MapReduce program,2,Other
What is the default file size of an HDFS data block?,2,Other
Why are the data blocks in HDFS so huge?,1,Other
What is a SequenceFile in Hadoop?,2,Other
What do you mean by WAL in HBase?,2,Other
List the two types of metadata that are stored by the NameNode server,2,Other
Explain the architecture of YARN and how it allocates various resources to applications?,1,Other
What are the differences between Sqoop and Flume?,1,Other
What is the role of a JobTracker in Hadoop?,2,Other
"Can you name the port numbers for JobTracker, NameNode, and TaskTracker",1,Other
What are the components of the architecture of Hive?,2,Other
Is it possible to import or export tables in HBase?,3,Other
Why does Hive not store metadata in HDFS?,2,Other
What are the significant components in the execution environment of Pig?,1,Other
What is the command used to open a connection in HBase?,2,Other
What is the use of RecordReader in Hadoop?,2,Other
How does Sqoop import or export data between HDFS and RDBMS?,3,Other
What is speculative execution in Hadoop?,1,Other
What is Apache Oozie?,2,Other
What happens if you try to run a Hadoop job with an output directory that is already present?,2,OS
How can you debug Hadoop code?,1,Other
How to configure the replication factor in HDFS?,2,Other
How to compress a mapper output not touching reducer output?,1,Other
What are the basic parameters of a mapper?,1,Other
What is the difference between map-side join and reduce-side join?,3,Other
How can you transfer data from Hive to HDFS?,1,Other
Which companies use Hadoop?,1,Other
"
Find Big Data Hadoop Training in Other Regions",2,Other
Compare Solr & ElasticSearch,2,Other
What is Apache Solr?,3,Other
What file contains configuration for data directory?,2,OS
What file contains definition of the field types and fields of documents?,2,Other
What are the features of Apache Solr?,2,Other
What is Apache Lucene?,2,Other
What is request handler?,2,Other
What are the advantages and disadvantages of Standard Query Parser?,1,Other
What all information is specified in field type?,1,Other
Explain Faceting in Solr.?,2,Other
Define Dynamic Fields?,2,Other
What is Field Analyzer?,3,Other
What is the use of tokenizer?,2,Other
What is phonetic filter?,1,Other
What is SolrCloud?,2,Other
What is copying field?,3,Other
What is Highlighting?,2,Other
Name different types of highlighters?,3,Other
What is the use of stats.field?,2,Other
What command is used to see how to use the bin/Solr script?,1,Other
Which syntax is used to stop Solr?,3,Other
Which command is used to start Solr in foreground?,2,Other
What syntax is used to check whether Solr is currently running or not?,1,Other
Give the syntax to start the server.,2,Other
How to shut down Apache Solr?,1,Other
What data is specified by Schema?,2,Other
Name the basic Field types in Solr?,2,Other
How to install Solr?,2,Other
What are the important configuration files of Solr?,3,Other
What are the most common elements in solrconfig.xml?,2,Other
Compare Spark & Storm,3,Other
Which components are used for stream flow of data?,1,Other
What are the key benefits of using Storm for Real Time Processing?,1,Other
Does Apache act as a Proxy server?,1,Other
What is the use of Zookeeper in Storm?,3,Other
What is ZeroMQ?,3,Other
How many distinct layers are of Storm’s Codebase?,3,Other
What does it mean for a message to be ,3,Other
When do you call the cleanup method?,3,Other
How can we kill a topology?,1,Other
What is combinerAggregator?,2,Other
What are the common configurations in Apache Storm?,1,Other
Is it necessary to kill the topology while updating the running topology?,3,Other
How Storm UI can be used in topology?,3,Other
Why does not Apache include SSL?,2,Other
Does Apache include any sort of database integration?,2,Other
"While installing, why does Apache have three config files – srm.conf, access.conf and httpd.conf?",3,Other
How to check for the httpd.conf consistency and any errors in it?,2,Other
Explain when to use field grouping in Storm? Is there any time-out or limit to known field values?,3,Other
What is mod_vhost_alias?,1,Other
Tell me Is running apache as a root is a security risk?,1,Other
What is Multiviews?,3,Other
Does Apache include a search engine?,2,Other
Explain how you can streamline log files using Apache storm?,2,Other
Mention how storm application can be beneficial in financial services?,2,Other
Can we use Active server pages(ASP) with Apache?,1,Other
Explain what is Toplogy_Message_Timeout_secs in Apache storm?,1,Other
Mention the difference between Apache Kafka and Apache Storm?,2,Other
What is ServerType directive in Apache Server?,1,Other
In which folder are Java Application stored in Apache?,2,Other
Explain the key features of Spark.,1,Other
What is MapReduce?,3,Other
Compare MapReduce with Spark.,1,Other
Define RDD.,2,Other
What does a Spark Engine do?,3,Other
Define Partitions.,2,Other
What operations does an RDD support?,3,Other
What do you understand about Transformations in Spark?,1,Other
Define Actions in Spark.,2,Other
Check out this insightful video on Spark Tutorial for Beginners:,2,Other
Define the functions of Spark Core.,3,Other
What is RDD Lineage?,2,Other
What is Spark Driver?,3,Other
What is Hive on Spark?,3,Other
Name the commonly used Spark Ecosystems.,3,Other
Define Spark Streaming.,3,Other
What is GraphX?,2,Other
What does MLlib do?,3,Other
What is Spark SQL?,1,SQL
What is a Parquet file?,3,Other
What file systems does Apache Spark support?,2,Other
What is Directed Acyclic Graph in Spark?,1,DS
What are deploy modes in Apache Spark?,1,Other
Roles of receivers in Apache Spark Streaming?,1,Other
What is YARN?,3,Other
List the functions of Spark SQL.,1,SQL
What are the benefits of Spark over MapReduce?,1,Other
Is there any benefit of learning MapReduce?,2,Other
What is a Spark Executor?,2,Other
Name the types of Cluster Managers in Spark.,1,Other
What do you understand by a Worker node?,2,Other
What is PageRank?,1,Other
Do you need to install Spark on all the nodes of the YARN cluster while running Spark on YARN?,2,Other
Illustrate some demerits of using Spark.,2,Other
How to create an RDD?,3,Other
What are Spark DataFrames?,1,Other
What are Spark Datasets?,1,Other
Which languages can Spark be integrated with?,1,Other
What do you mean by in-memory processing?,2,Other
What is lazy evaluation?,3,Other
Here is a Mapreduce Tutorial Video by Intellipaat,3,Other
Compare MapReduce and Spark,2,Other
Illustrate a simple example of the working of MapReduce.,1,Other
What are the main components of MapReduce Job?,2,Other
What is Shuffling and Sorting in MapReduce?,3,Other
What is Partitioner and its usage?,2,Other
What is Identity Mapper and Chain Mapper?,1,Other
What main configuration parameters are specified in MapReduce?,3,Other
Name Job control options specified by MapReduce.,3,Other
What is InputFormat in Hadoop?,3,Other
What is the difference between HDFS block and InputSplit?,2,Other
What is Text Input Format?,1,Other
What is JobTracker?,2,Other
Explain job scheduling through JobTracker.,2,Other
What is SequenceFileInputFormat?,2,Other
How to set mappers and reducers for Hadoop jobs?,2,Other
Explain JobConf in MapReduce.,3,Other
What is a MapReduce Combiner?,2,Other
What is RecordReader in a Map Reduce?,3,Other
Define Writable data types in MapReduce.,1,Other
What is OutputCommitter?,3,Other
What is a “map” in Hadoop?,1,Other
What is a “reducer” in Hadoop?,2,Other
What are the parameters of mappers and reducers?,2,Other
What are the key differences between Pig vs MapReduce?,3,Other
What is partitioning?,2,Other
How to set which framework would be used to run mapreduce program?,2,Other
What platform and Java version is required to run Hadoop?,3,Other
Can MapReduce program be written in any language other than Java?,3,Other
Compare HDFS & HBase,1,Other
What is Hadoop ?,1,Other
Check out this video on Hadoop Tutorial for Beginners:,1,Other
Who is the provider of Hadoop?,1,Other
What is the use of Hadoop?,3,Other
What are the operating systems on which Hadoop works?,3,Other
What is meant by Big Data?,1,Other
Can you indicate Big Data examples?,1,Other
What are major characteristics of Big Data?,1,Other
What is the use of Big Data Analysis for an enterprise?,3,Other
What are the characteristics of data scientists?,3,Other
What are the basic characteristics of Hadoop?,1,Other
Which are the major players on the web that uses Hadoop?,1,Other
How is Hadoop different from traditional RDBMS?,3,Other
What are the main components of Hadoop?,2,Other
What is HDFS?,3,Other
What are the main features of HDFS?,3,Other
Why replication is pursued in HDFS though it may cause data redundancy?,2,Other
Would the calculations made on one node be replicated to others in HDFS?,3,Other
What is meant by streaming access?,2,Other
What is meant by ‘commodity hardware’? Can Hadoop work on them?,3,Other
Which one is the master node in HDFS? Can it be commodity?,3,Other
What is meant by Data node?,3,Other
What is daemon?,3,Other
What is the function of ‘job tracker’?,1,Other
What is the role played by task trackers?,3,Other
What is meant by heartbeat in HDFS?,3,Other
Is it necessary that Name node and job tracker should be on the same host?,1,Other
What is meant by ‘block’ in HDFS?,2,Other
Can blocks be broken down by HDFS if a machine does not have the capacity to copy as many blocks as the user wants?,3,Other
What is the process of indexing in HDFS?,1,Other
How a data node is identified as saturated?,2,Other
What type of data is processed by Hadoop?,2,Other
How Name node determines which data node to write on?,2,Other
Who is the ‘user’ in HDFS?,3,Other
How the client communicates with Name node and Data node in HDFS?,3,Other
What is a rack in HDFS?,3,Other
Compare Kafka and Flume.,2,Other
What are the elements of Kafka?,2,Other
What role does ZooKeeper play in a cluster of Kafka?,3,Other
What is Kafka?,3,Other
Why do you think the replications to be dangerous in Kafka?,1,Other
What major role does a Kafka Producer API play?,1,Other
Distinguish between Kafka and Flume?,2,Other
Describe partitioning key.,1,Other
"Inside the manufacturer, when does the QueueFullException emerge?",2,Other
Can Kafka be utilized without ZooKeeper?,2,Other
Elaborate the architecture of Kafka.,2,Other
How to start a Kafka server?,1,Other
What are consumers or users?,3,Other
Describe an Offset.,3,Other
What do you know about a partition key?,3,Other
Why is Kafka technology significant to use?,3,Other
Compare Couchbase and MongoDB,1,SQL
Is Couchbase an open sourse software?,3,Other
What is Couchbase Server?,1,Other
What are the basic features of the Couchbase server?,3,Other
Distinguish between CouchDB and Couchbase server.,2,SQL
How many functional blocks have involved in Couchbase server and brief about them?,1,Other
What is vBucket?,1,Other
What are the 4 subsystems which function on every node?,2,Other
What vBucket Map represents?,3,Other
What are the TCP ports used to listen to the requests?,3,Other
What is the importance of creating a Data Bucket?,3,Other
"
Find MongoDB Training in Other Regions",2,SQL
Compare Pig and Hive.,3,Other
"Does Pig differ from MapReduce? If yes, how?",3,Other
Explain the uses of Map Reduce in Pig.,1,Other
Explain the uses of PIG.,2,Other
Name the scalar data type and complex data types in Pig.,2,Other
"State the usage of ‘filters’, ‘group’ , ‘orderBy’, ‘distinct’ keywords in pig scripts.",1,Other
Explain the LOAD keyword in Pig script.,3,Other
What are the relation operations in Pig? Explain any two with examples.,3,Other
Does Pig support multi-line commands?,2,Other
Explain different execution modes available in Pig.,3,Other
What are the exception handling operators in Pig script?,3,Other
Differentiate between the physical plan and logical plan in Pig script.,2,Other
Is Pig script case sensitive?,2,Other
Highlight the difference between group and Cogroup operators in Pig.,3,Other
What is the function of UNION and SPLIT operators? Give examples.,3,Other
How can we see only top 15 records from the student.txt out of 100 records in the HDFS directory?,3,OS
What is the use of BloomMapFile?,3,Other
How does the Pig platform handle relational systems data?,1,Other
What are the drawbacks of Pig?,2,Other
Mention the common features in Pig and Hive.,2,Other
Differentiate between Pig Latin and Pig Engine.,2,Other
Explain the terms in the below syntax.EXPLAIN [-script pigscript] [-out path] [-brief] [-dot] [-paramparam_name = param_value] [-param_filefile_name] alias;,1,Other
What are all stats classes in the org.apache.pig.tools.pigstats package?,1,Other
Watch this video on Hadoop Training for Beginners:,1,Other
Differentiate between Pig and Hive.,1,Other
How to skip header rows from a table in Hive?,2,SQL
What is a Hive variable? What do we use it for?,2,Other
Explain the process to access subdirectories recursively in Hive queries.,1,Other
"Can we change the settings within a Hive session? If yes, how?",2,Other
"Is it possible to add 100 nodes when we already have 100 nodes in Hive? If yes, how?",2,Other
Explain the concatenation function in Hive with an example.,1,Other
Explain the Trim and Reverse functions in Hive with examples.,3,Other
How to change the column data type in Hive? Explain RLIKE in Hive.,1,Other
What are the components used in Hive Query Processor?,2,Other
What are Buckets in Hive?,2,Other
What kind of data warehouse application is suitable for Hive? What are the types of tables in Hive?,1,Other
What is the definition of Hive? What is the present version of Hive? Explain ACID transactions in Hive.,3,SQL
What is the maximum size of a string data type supported by Hive? Explain how Hive supports binary formats.,2,Other
What is the precedence order of Hive configuration?,1,Other
"If you run a select * query in Hive, why doesn't it run MapReduce?",2,Other
How can we improve the performance with ORC format tables in Hive?,3,Other
Explain the functionality of ObjectInspector.,1,Other
"Whenever we run a Hive query, a new metastore_db is created. Why?",2,Other
Differentiate between Hive and HBase.,3,Other
How can we access the subdirectories recursively?,3,Other
What are the uses of Hive Explode?,2,Other
What is the available mechanism for connecting applications when we run Hive as a server?,3,Other
How do we write our own custom SerDe?,1,Other
Mention various date types supported by Hive.,3,Other
"Can we run UNIX shell commands from Hive? Can Hive queries be executed from script files? If yes, how? Give an example.",1,OS
Compare Sqoop and Flume,3,Other
Name a few import control commands. How can Sqoop handle large objects?,2,Other
How can we import data from particular row or column? What is the destination types allowed in Sqoop import command?,2,Other
Role of JDBC driver in sqoop setup? Is the JDBC driver enough to connect the sqoop to the database?,2,Other
Using Sqoop command how can we control the number of mappers?.,3,Other
How will you update the rows that are already exported? Write sqoop command to show all the databases in MySQL server.,1,SQL
Define Sqoop metastore? What is the purpose of Sqoop-merge?,3,Other
Explain the saved job process in Sqoop.,2,Other
How Sqoop word came ? Sqoop is which type of tool and the main use of sqoop?,1,Other
"How to enter into Mysql prompt, and explain the command parameter indicates?",2,SQL
"I am getting connection failure exception during connecting to Mysql through Sqoop, what is the root cause and fix for this error scenario?",1,SQL
I am getting java.lang.IllegalArgumentException: during importing tables from oracle database.what might be the root cause and fix for this error scenario?,3,SQL
How can you list all the columns of a table using Apache sqoop?,1,SQL
How to create a table in Mysql and how to insert the values into the table ?,2,SQL
What are the basic commands in Hadoop Sqoop and its uses?,2,Other
Is sqoop same as to distcp in hadoop?,3,Other
For each sqoop copying into HDFS how many MapReduce jobs and tasks will be submitted?,2,Other
How can Sqoop be used in Java programs?,3,Other
"I am having around 500 tables in a database. I want to import all the tables from the database except the tables named Table 498, Table 323, and Table 199. How can we do this without having to import the tables one by one?",3,SQL
Explain the significance of using –split-by clause in Apache Sqoop?,2,Other
Compare SAP BO with SAS BI.,2,Other
Explain the SUBSTR function.,3,Other
Define the TRANSLATE function.,3,Other
Explain PROC SORT.,3,Other
Describe PROC UNIVARIATE.,2,Other
Elucidate the APPEND procedure.,1,Other
Explain the BMDP procedure.,1,Other
Define RUN-group Processing.,3,Other
Describe BY-group Processing.,2,Other
What do a CALENDAR procedure do?,3,Other
What are the functions used for character handling in SAS?,3,Other
What is the use of the DIVIDE function?,3,Other
Explain the BOR function.,1,Other
What do you mean by CALL PRXFREE Routine?,2,Other
Explain CALL PRXCHANGE Routine.,3,Other
Define the ANYDIGIT function.,2,Other
What do you understand by CALL MISSING Routine?,1,Other
What do you mean by the ALTER= Data Set option?,1,Other
Explain the COMPRESS= Data set option.,2,Other
Define Formats.,2,Other
How are Variable Formats handled by PROC COMPARE?,3,Other
What are the features of the SAS system?,1,Other
What is the use of $BASE64X?,2,Other
Describe the VFORMATX function.,3,Other
Define the STD function.,2,Other
How can a SAS program be validated?,3,Other
What is Debugging?,2,Other
Elucidate the FILECLOSE data set option.,3,Other
What does ODS stand for?,3,Other
What does CDISC stand for?,3,Other
Which method is used to copy blocks of data?,3,Other
What is the procedure for copying an entire library?,3,Other
Define the max() function.,3,Other
What is the use of the SYSRC function?,2,Other
Explain SAS. What are the functions it performs?,1,Other
Describe the basic structure of a SAS program.,3,Other
What is DATA Step?,3,Other
What is PDV?,3,Other
"In SAS, which statement does not perform automatic conversions in comparisons?",1,Other
What is the difference between the NODUPKEY and NODUP options?,3,Other
What is the use of the function PROC SUMMARY?,2,Other
What are PROC PRINT and PROC CONTENTS used for?,2,Other
What does PROC GLM do?,2,Other
What is SAS Informat?,1,Other
What does the function CATX syntax do?,2,Other
Explain the use of PROC GPLOT.,2,Other
How to sort in descending order?,1,Other
What do put and the input functions do?,2,Other
What is the difference between VAR B1 – B3 and VAR B1 -- B3?,1,Other
What is the basic syntax style in SAS?,2,Other
What are the special Input Delimiters?,2,Other
What is the difference between a format and an informat?,2,Other
Describe any one SAS function.,3,Other
What is PDV) and what are its functions?,3,Other
"Distinguish between SAS, Stata, and SPSS.",1,Other
What are the uses of SAS?,2,Other
How do we create a SAS data set with Compressed Observations?,1,Other
How can we minimize the space requirement of a huge data set in SAS for window?,3,Other
Compare OBIEE & Tableau,3,Other
Explain the Architecture of OBIEE 11g and function of each components?,1,Other
How we can extract sql from OBIEE for reports?,3,SQL
How can you sort in Reports in OBIEE 11g?,3,Other
How we can do different types of narrative Reports in OBIEE?,1,Other
How will you create Interactive Dashboards ?,2,Other
What is write-back in obiee ?,3,Other
How will you execute Direct SQL in OBIEE?,1,SQL
How OBIEE Developer can create report from two subject areas?,2,Other
What are the different types of variables in OBIEE 11g? explain,2,Other
"How we can Port changes for dashboards, reports, rpd from development to production?",2,Other
How will you enable or disable caching in the system level and table level?,1,SQL
How will you go about adding additional column to the repository in the presentation layer?,2,Other
"How will effect the changes for a report, if for certain users only the column heading in the report should be changed?",2,Other
What is a table alias in OBIEE 11g? Where and how will you create it?,3,SQL
Have you created Hierarchy in OBIEE 11g. if so where and how?,3,Other
What is Level Based Metrics? How we can create it?,2,Other
What are the different layers of OBIEE 11g Repository?,3,Other
What is Authentication? How many types of authentication.,2,Other
What is a bridge table ?,1,SQL
How Time based triggered report can be generated?,1,Other
What is ibot?,3,Other
What are different types of joins that are possible in OBIEE RPD?,1,SQL
How we can have two different columns from two different tables or subject areas?,3,Other
How can we use saved filters and where we will save the filters?,1,Other
Have you worked in dashboard? when we run a dashboard? how will we stop the dashboard report run automatically?,3,Other
Define surrogate key.,2,Other
Define repository in terms of Siebel Analytics.,3,Other
Explain the end to end life cycle of Siebel Analytics?,2,Other
How does Siebel Architecture works? Explain the three layers.,3,Other
If we have 3 facts and 4 dimension and we need to join would you recommend joining fact with fact? If no than what is the option?,2,Other
